nombre, nombre_scan
"ALIMENTARIA ARTESANAL,SA DE CV",ARTESANAL
"ALIMENTOS BENEFITS, SA DE CV",BENEFITS
ALIMENTOS BOLOÑA SA DE CV,ALIMENTOS BOLOÑA
ALIMENTOS PECUARIOS NUTRITIVOS . S.A DE C.V.,PECUARIOS NUTRITIVOS
ANGEL ALFONSO PEÑALOZA ESCORCIA,ANGEL ALFONSO PEÑALOZA
"BARCEL, S.A. DE C.V.",BARCEL
"BIMBO, SA DE CV",BÍMBO
BLANCA MONICA GONZALEZ HERNANDEZ,BLANCA MONICA GONZALEZ
BRIAN LOPEZ HEVIA,BRIAN LOPEZ HEVIA
CARLOS ALBERTO VALDES RIOS,CARLOS ALBERTO VALDES
"CERVEZA CANAL MODERNO, S. DE R.L. DE C.V.",CERVEZA MODERNO
CESAR MOISES PRUDENCIO LOPEZ,CESAR MOISES PRUDENCIO
COALIMEXSA ALIMENTOS MEXICANOS S.A. DE C.V.,COALIMEXSA
COMERCIALIZADORA DE LACTEOS Y DERIVADOS SA DE CV,LALA
COMERCIALIZADORA ESJU S.A DE C.V,ESJU
COMERCIALIZADORA PEPSICO MEXICO S DE RL DE CV,PEPSICO
"CREMERIA EL SAUCITO, SA DE CV",EL SAUCITO
DIEGO MENA SALGADO,DIEGO MENA
DISTRIBUIDORA DE HIELO SA DE CV,HIELO
DISTRIBUIDORA DE QUESOS LILY SA DE CV,QUESOS LILY
"EMBOTELLADORA LAS MARGARITAS, SAPI DE CV",LAS MARGARITAS
"EMPACADORA CEYLAN, SA DE CV",EMPACADORA CEYLAN
"EMPACADORA DE ESPECIAS LA CASITA, S.A. DE C.V.",LA CASITA
ENVASADORA DE AGUAS EN MEXICO S DE RL DE C.V,ENVASADORA
"FABRICAS DE HARINAS ELIZONDO, SA DE CV",HARINAS ELIZONDO
FACSOSA SA DE CV,FACSOSA
GELATINAS LIZETH LA ORIGINAL S DE R.L DE C.V.,GELATINAS LIZETH
HUMBERTO CASTILLO CHAPARRO,HUMBERTO CASTILLO
JAIME SALGADO CORTES,JAIME SALGADO
JORGE ORTIZ BAUTISTA,JORGE ORTIZ
JOSE ANTONIO MEJIA HIKICHI,JOSE ANTONIO MEJIA
JOSE DE JESUS HERNANDEZ ESCAMILLA,JOSE DE JESUS HERNANDEZ
JUAN MENDOZA MERA,JUAN MENDOZA
MANUEL ESTRADA FLORES,MANUEL ESTRADA
MISSION FOODS MEXICO S DE RL DE CV,MISSION FOODS
MOISES ALEJANDRO ESCALERA ROSETE,MOISES ALEJANDRO ESCALERA
"NADRO, SAPI DE CV",NADRO
"POULTRY PRODUCTS EXCELLENCE, S.A. DE C.V.",POULTRY
"PROCTER & GAMBLE MEXICO, S. DE R.L. DE C.V.",PROCTER & GAMBLE
PRODUCTORA DE LACT Y DERI. VANESA S.A. DE C.V.,LACT Y DERI. VANESA
PRODUCTOS ARACELI S.A DE CV.,PRODUCTOS ARACELI
"PRODUCTOS FINOS DKAR, S.A. DE C.V.",FINOS DKAR
PRODUCTOS LACTEOS EL EDEN S.A DE C.V.,EL EDEN
"PRODUCTOS LACTEOS SAN FRANCISCO, S.A. DE C.V.",SAN FRANCISCO
RAFAEL AMBROSIO GARDUÑO,RAFAEL AMBROSIO
RAFAEL MOURIÑO BELLO,RAFAEL MOURIÑO
ROBERTO ROSALIO HIDALGO ORTEGA,ROBERTO ROSALIO HIDALGO
ROJAS SAN ROMAN SOFIA YADIRA,SOFIA YADIRA
SIGMA ALIMENTOS COMERCIAL SA DE CV,SIGMA
"SOCIEDAD COOPERATIVA TRABAJADORES DE PASCUAL, S.C.",PASCUAL
"UNILEVER DE MEXICO, S. DE R.L. DE C.V.",UNILEVER
"YAKULT, SA DE CV",YAKULT
ZUCARMEX SA DE CV,ZUCARMEX
"PROE, SA DE CV","PROE"
"GAS DE","GAS"


